v_alpha, I_out_I
0.000000, 200.000000
0.001000, 199.999995
0.002000, 199.999980
0.003000, 199.999955
0.004000, 199.999919
0.005000, 199.999874
0.006000, 199.999819
0.007000, 199.999753
0.008000, 199.999678
0.009000, 199.999592
0.010000, 199.999496
0.011000, 199.999391
0.012000, 199.999275
0.013000, 199.999149
0.014000, 199.999013
0.015000, 199.998867
0.016000, 199.998711
0.017000, 199.998545
0.018000, 199.998368
0.019000, 199.998182
0.020000, 199.997986
0.021000, 199.997779
0.022000, 199.997563
0.023000, 199.997336
0.024000, 199.997100
0.025000, 199.996853
0.026000, 199.996596
0.027000, 199.996329
0.028000, 199.996052
0.029000, 199.995765
0.030000, 199.995468
0.031000, 199.995161
0.032000, 199.994844
0.033000, 199.994516
0.034000, 199.994179
0.035000, 199.993832
0.036000, 199.993474
0.037000, 199.993106
0.038000, 199.992729
0.039000, 199.992341
0.040000, 199.991943
0.041000, 199.991535
0.042000, 199.991117
0.043000, 199.990689
0.044000, 199.990251
0.045000, 199.989803
0.046000, 199.989345
0.047000, 199.988877
0.048000, 199.988398
0.049000, 199.987910
0.050000, 199.987411
0.051000, 199.986903
0.052000, 199.986384
0.053000, 199.985855
0.054000, 199.985317
0.055000, 199.984768
0.056000, 199.984209
0.057000, 199.983640
0.058000, 199.983061
0.059000, 199.982472
0.060000, 199.981872
0.061000, 199.981263
0.062000, 199.980644
0.063000, 199.980014
0.064000, 199.979375
0.065000, 199.978725
0.066000, 199.978066
0.067000, 199.977396
0.068000, 199.976716
0.069000, 199.976026
0.070000, 199.975326
0.071000, 199.974617
0.072000, 199.973896
0.073000, 199.973166
0.074000, 199.972426
0.075000, 199.971676
0.076000, 199.970916
0.077000, 199.970145
0.078000, 199.969365
0.079000, 199.968574
0.080000, 199.967774
0.081000, 199.966963
0.082000, 199.966142
0.083000, 199.965311
0.084000, 199.964470
0.085000, 199.963620
0.086000, 199.962759
0.087000, 199.961887
0.088000, 199.961006
0.089000, 199.960115
0.090000, 199.959214
0.091000, 199.958302
0.092000, 199.957381
0.093000, 199.956449
0.094000, 199.955508
0.095000, 199.954556
0.096000, 199.953595
0.097000, 199.952623
0.098000, 199.951641
0.099000, 199.950649
0.100000, 199.949647
0.101000, 199.948635
0.102000, 199.947613
0.103000, 199.946581
0.104000, 199.945538
0.105000, 199.944486
0.106000, 199.943424
0.107000, 199.942351
0.108000, 199.941269
0.109000, 199.940176
0.110000, 199.939073
0.111000, 199.937961
0.112000, 199.936838
0.113000, 199.935705
0.114000, 199.934562
0.115000, 199.933409
0.116000, 199.932246
0.117000, 199.931073
0.118000, 199.929890
0.119000, 199.928696
0.120000, 199.927493
0.121000, 199.926280
0.122000, 199.925056
0.123000, 199.923823
0.124000, 199.922579
0.125000, 199.921325
0.126000, 199.920062
0.127000, 199.918788
0.128000, 199.917504
0.129000, 199.916210
0.130000, 199.914906
0.131000, 199.913592
0.132000, 199.912268
0.133000, 199.910933
0.134000, 199.909589
0.135000, 199.908235
0.136000, 199.906870
0.137000, 199.905496
0.138000, 199.904111
0.139000, 199.902717
0.140000, 199.901312
0.141000, 199.899897
