v_alpha, I_out_I
0.000000, 400.000000
0.001000, 399.999995
0.002000, 399.999980
0.003000, 399.999955
0.004000, 399.999919
0.005000, 399.999874
0.006000, 399.999819
0.007000, 399.999753
0.008000, 399.999678
0.009000, 399.999592
0.010000, 399.999496
0.011000, 399.999391
0.012000, 399.999275
0.013000, 399.999149
0.014000, 399.999013
0.015000, 399.998867
0.016000, 399.998711
0.017000, 399.998545
0.018000, 399.998368
0.019000, 399.998182
0.020000, 399.997986
0.021000, 399.997779
0.022000, 399.997563
0.023000, 399.997336
0.024000, 399.997100
0.025000, 399.996853
0.026000, 399.996596
0.027000, 399.996329
0.028000, 399.996052
0.029000, 399.995765
0.030000, 399.995468
0.031000, 399.995161
0.032000, 399.994844
0.033000, 399.994516
0.034000, 399.994179
0.035000, 399.993832
0.036000, 399.993474
0.037000, 399.993106
0.038000, 399.992729
0.039000, 399.992341
0.040000, 399.991943
0.041000, 399.991535
0.042000, 399.991117
0.043000, 399.990689
0.044000, 399.990251
0.045000, 399.989803
0.046000, 399.989345
0.047000, 399.988877
0.048000, 399.988398
0.049000, 399.987910
0.050000, 399.987411
0.051000, 399.986903
0.052000, 399.986384
0.053000, 399.985855
0.054000, 399.985317
0.055000, 399.984768
0.056000, 399.984209
0.057000, 399.983640
0.058000, 399.983061
0.059000, 399.982472
0.060000, 399.981872
0.061000, 399.981263
0.062000, 399.980644
0.063000, 399.980014
0.064000, 399.979375
0.065000, 399.978725
0.066000, 399.978066
0.067000, 399.977396
0.068000, 399.976716
0.069000, 399.976026
0.070000, 399.975326
0.071000, 399.974617
0.072000, 399.973896
0.073000, 399.973166
0.074000, 399.972426
0.075000, 399.971676
0.076000, 399.970916
0.077000, 399.970145
0.078000, 399.969365
0.079000, 399.968574
0.080000, 399.967774
0.081000, 399.966963
0.082000, 399.966142
0.083000, 399.965311
0.084000, 399.964470
0.085000, 399.963620
0.086000, 399.962759
0.087000, 399.961887
0.088000, 399.961006
0.089000, 399.960115
0.090000, 399.959214
0.091000, 399.958302
0.092000, 399.957381
0.093000, 399.956449
0.094000, 399.955508
0.095000, 399.954556
0.096000, 399.953595
0.097000, 399.952623
0.098000, 399.951641
0.099000, 399.950649
0.100000, 399.949647
0.101000, 399.948635
0.102000, 399.947613
0.103000, 399.946581
0.104000, 399.945538
0.105000, 399.944486
0.106000, 399.943424
0.107000, 399.942351
0.108000, 399.941269
0.109000, 399.940176
0.110000, 399.939073
0.111000, 399.937961
0.112000, 399.936838
0.113000, 399.935705
0.114000, 399.934562
0.115000, 399.933409
0.116000, 399.932246
0.117000, 399.931073
0.118000, 399.929890
0.119000, 399.928696
0.120000, 399.927493
0.121000, 399.926280
0.122000, 399.925056
0.123000, 399.923823
0.124000, 399.922579
0.125000, 399.921325
0.126000, 399.920062
0.127000, 399.918788
0.128000, 399.917504
0.129000, 399.916210
0.130000, 399.914906
0.131000, 399.913592
0.132000, 399.912268
0.133000, 399.910933
0.134000, 399.909589
0.135000, 399.908235
0.136000, 399.906870
0.137000, 399.905496
0.138000, 399.904111
0.139000, 399.902717
0.140000, 399.901312
0.141000, 399.899897
0.142000, 399.898473
0.143000, 399.897038
0.144000, 399.895593
0.145000, 399.894138
0.146000, 399.892673
0.147000, 399.891197
0.148000, 399.889712
0.149000, 399.888217
0.150000, 399.886712
0.151000, 399.885196
0.152000, 399.883671
0.153000, 399.882135
0.154000, 399.880590
0.155000, 399.879034
0.156000, 399.877468
0.157000, 399.875892
0.158000, 399.874307
0.159000, 399.872711
0.160000, 399.871105
0.161000, 399.869489
0.162000, 399.867863
0.163000, 399.866226
0.164000, 399.864580
0.165000, 399.862924
0.166000, 399.861257
0.167000, 399.859581
0.168000, 399.857895
0.169000, 399.856198
0.170000, 399.854491
0.171000, 399.852775
0.172000, 399.851048
0.173000, 399.849311
0.174000, 399.847564
0.175000, 399.845807
0.176000, 399.844040
0.177000, 399.842263
0.178000, 399.840476
0.179000, 399.838679
0.180000, 399.836872
0.181000, 399.835054
0.182000, 399.833227
0.183000, 399.831389
0.184000, 399.829542
0.185000, 399.827684
0.186000, 399.825817
0.187000, 399.823939
0.188000, 399.822051
0.189000, 399.820153
0.190000, 399.818246
0.191000, 399.816328
0.192000, 399.814400
0.193000, 399.812462
0.194000, 399.810513
0.195000, 399.808555
0.196000, 399.806587
0.197000, 399.804609
0.198000, 399.802620
0.199000, 399.800622
0.200000, 399.798613
0.201000, 399.796595
0.202000, 399.794566
0.203000, 399.792527
0.204000, 399.790479
0.205000, 399.788420
0.206000, 399.786351
0.207000, 399.784272
0.208000, 399.782183
0.209000, 399.780084
0.210000, 399.777975
0.211000, 399.775856
0.212000, 399.773727
0.213000, 399.771587
0.214000, 399.769438
0.215000, 399.767279
0.216000, 399.765109
0.217000, 399.762930
0.218000, 399.760740
0.219000, 399.758540
0.220000, 399.756331
0.221000, 399.754111
0.222000, 399.751881
0.223000, 399.749641
0.224000, 399.747391
0.225000, 399.745131
0.226000, 399.742861
0.227000, 399.740581
0.228000, 399.738291
0.229000, 399.735991
0.230000, 399.733681
0.231000, 399.731360
0.232000, 399.729030
0.233000, 399.726689
0.234000, 399.724339
0.235000, 399.721978
0.236000, 399.719608
0.237000, 399.717227
0.238000, 399.714836
0.239000, 399.712435
0.240000, 399.710025
0.241000, 399.707604
0.242000, 399.705173
0.243000, 399.702732
0.244000, 399.700281
0.245000, 399.697819
0.246000, 399.695348
0.247000, 399.692867
0.248000, 399.690376
0.249000, 399.687874
0.250000, 399.685363
0.251000, 399.682842
0.252000, 399.680310
0.253000, 399.677768
0.254000, 399.675217
0.255000, 399.672655
0.256000, 399.670083
0.257000, 399.667502
0.258000, 399.664910
0.259000, 399.662308
0.260000, 399.659696
0.261000, 399.657074
0.262000, 399.654442
0.263000, 399.651800
0.264000, 399.649148
0.265000, 399.646485
0.266000, 399.643813
0.267000, 399.641131
0.268000, 399.638438
0.269000, 399.635736
0.270000, 399.633023
0.271000, 399.630301
0.272000, 399.627568
0.273000, 399.624826
0.274000, 399.622073
0.275000, 399.619310
0.276000, 399.616537
0.277000, 399.613755
0.278000, 399.610962
0.279000, 399.608159
0.280000, 399.605346
0.281000, 399.602523
0.282000, 399.599690
0.283000, 399.596846
0.284000, 399.593993
0.285000, 399.591130
0.286000, 399.588257
0.287000, 399.585373
0.288000, 399.582480
0.289000, 399.579576
0.290000, 399.576663
0.291000, 399.573739
0.292000, 399.570806
0.293000, 399.567862
0.294000, 399.564908
0.295000, 399.561945
0.296000, 399.558971
0.297000, 399.555987
0.298000, 399.552993
0.299000, 399.549989
0.300000, 399.546975
0.301000, 399.543951
0.302000, 399.540917
0.303000, 399.537873
0.304000, 399.534819
0.305000, 399.531754
0.306000, 399.528680
0.307000, 399.525596
0.308000, 399.522501
0.309000, 399.519397
0.310000, 399.516282
0.311000, 399.513158
0.312000, 399.510023
0.313000, 399.506879
0.314000, 399.503724
0.315000, 399.500559
0.316000, 399.497385
0.317000, 399.494200
0.318000, 399.491005
0.319000, 399.487800
0.320000, 399.484585
0.321000, 399.481360
0.322000, 399.478125
0.323000, 399.474880
0.324000, 399.471625
0.325000, 399.468360
0.326000, 399.465084
0.327000, 399.461799
0.328000, 399.458504
0.329000, 399.455199
0.330000, 399.451883
0.331000, 399.448558
0.332000, 399.445222
0.333000, 399.441877
0.334000, 399.438521
0.335000, 399.435156
0.336000, 399.431780
0.337000, 399.428394
0.338000, 399.424999
0.339000, 399.421593
0.340000, 399.418177
0.341000, 399.414751
0.342000, 399.411315
0.343000, 399.407869
0.344000, 399.404413
0.345000, 399.400947
0.346000, 399.397471
0.347000, 399.393985
0.348000, 399.390489
0.349000, 399.386983
0.350000, 399.383467
0.351000, 399.379940
0.352000, 399.376404
0.353000, 399.372858
0.354000, 399.369301
0.355000, 399.365735
0.356000, 399.362159
0.357000, 399.358572
0.358000, 399.354976
0.359000, 399.351369
0.360000, 399.347752
0.361000, 399.344126
0.362000, 399.340489
0.363000, 399.336842
0.364000, 399.333186
0.365000, 399.329519
0.366000, 399.325842
0.367000, 399.322155
0.368000, 399.318458
0.369000, 399.314751
0.370000, 399.311034
0.371000, 399.307307
0.372000, 399.303570
0.373000, 399.299823
0.374000, 399.296066
0.375000, 399.292299
0.376000, 399.288522
0.377000, 399.284734
0.378000, 399.280937
0.379000, 399.277130
0.380000, 399.273312
0.381000, 399.269485
0.382000, 399.265648
0.383000, 399.261800
0.384000, 399.257943
0.385000, 399.254075
0.386000, 399.250198
0.387000, 399.246310
0.388000, 399.242413
0.389000, 399.238505
0.390000, 399.234587
0.391000, 399.230660
0.392000, 399.226722
0.393000, 399.222774
0.394000, 399.218816
0.395000, 399.214848
0.396000, 399.210871
0.397000, 399.206883
0.398000, 399.202885
0.399000, 399.198877
0.400000, 399.194859
0.401000, 399.190831
0.402000, 399.186793
0.403000, 399.182745
0.404000, 399.178687
0.405000, 399.174618
0.406000, 399.170540
0.407000, 399.166452
0.408000, 399.162354
0.409000, 399.158246
0.410000, 399.154127
0.411000, 399.149999
0.412000, 399.145861
0.413000, 399.141712
0.414000, 399.137554
0.415000, 399.133385
0.416000, 399.129207
0.417000, 399.125019
0.418000, 399.120820
0.419000, 399.116611
0.420000, 399.112393
0.421000, 399.108164
0.422000, 399.103926
0.423000, 399.099677
0.424000, 399.095418
0.425000, 399.091150
0.426000, 399.086871
0.427000, 399.082582
0.428000, 399.078284
0.429000, 399.073975
0.430000, 399.069656
0.431000, 399.065327
0.432000, 399.060988
0.433000, 399.056639
0.434000, 399.052280
0.435000, 399.047912
0.436000, 399.043533
0.437000, 399.039144
0.438000, 399.034745
0.439000, 399.030336
0.440000, 399.025917
0.441000, 399.021487
0.442000, 399.017048
0.443000, 399.012599
0.444000, 399.008140
0.445000, 399.003671
0.446000, 398.999192
0.447000, 398.994703
0.448000, 398.990203
0.449000, 398.985694
0.450000, 398.981175
0.451000, 398.976646
0.452000, 398.972106
0.453000, 398.967557
0.454000, 398.962998
0.455000, 398.958428
0.456000, 398.953849
0.457000, 398.949260
0.458000, 398.944660
0.459000, 398.940051
0.460000, 398.935431
0.461000, 398.930802
0.462000, 398.926162
0.463000, 398.921513
0.464000, 398.916853
0.465000, 398.912184
0.466000, 398.907504
0.467000, 398.902815
0.468000, 398.898115
