v_alpha, I_out_I
0.000000, 0.000000
0.001000, -0.000005
0.002000, -0.000020
0.003000, -0.000045
0.004000, -0.000081
0.005000, -0.000126
0.006000, -0.000181
0.007000, -0.000247
0.008000, -0.000322
0.009000, -0.000408
0.010000, -0.000504
0.011000, -0.000609
0.012000, -0.000725
0.013000, -0.000851
0.014000, -0.000987
0.015000, -0.001133
0.016000, -0.001289
0.017000, -0.001455
0.018000, -0.001632
0.019000, -0.001818
0.020000, -0.002014
0.021000, -0.002221
0.022000, -0.002437
0.023000, -0.002664
0.024000, -0.002900
0.025000, -0.003147
0.026000, -0.003404
0.027000, -0.003671
0.028000, -0.003948
0.029000, -0.004235
0.030000, -0.004532
0.031000, -0.004839
0.032000, -0.005156
0.033000, -0.005484
0.034000, -0.005821
0.035000, -0.006168
0.036000, -0.006526
0.037000, -0.006894
0.038000, -0.007271
0.039000, -0.007659
0.040000, -0.008057
0.041000, -0.008465
0.042000, -0.008883
0.043000, -0.009311
0.044000, -0.009749
0.045000, -0.010197
0.046000, -0.010655
0.047000, -0.011123
0.048000, -0.011602
0.049000, -0.012090
0.050000, -0.012589
0.051000, -0.013097
0.052000, -0.013616
0.053000, -0.014145
0.054000, -0.014683
0.055000, -0.015232
0.056000, -0.015791
0.057000, -0.016360
0.058000, -0.016939
0.059000, -0.017528
0.060000, -0.018128
0.061000, -0.018737
0.062000, -0.019356
0.063000, -0.019986
0.064000, -0.020625
0.065000, -0.021275
0.066000, -0.021934
0.067000, -0.022604
0.068000, -0.023284
0.069000, -0.023974
0.070000, -0.024674
0.071000, -0.025383
0.072000, -0.026104
0.073000, -0.026834
0.074000, -0.027574
0.075000, -0.028324
0.076000, -0.029084
0.077000, -0.029855
0.078000, -0.030635
0.079000, -0.031426
0.080000, -0.032226
0.081000, -0.033037
0.082000, -0.033858
0.083000, -0.034689
0.084000, -0.035530
0.085000, -0.036380
0.086000, -0.037241
0.087000, -0.038113
0.088000, -0.038994
0.089000, -0.039885
0.090000, -0.040786
0.091000, -0.041698
0.092000, -0.042619
0.093000, -0.043551
0.094000, -0.044492
0.095000, -0.045444
0.096000, -0.046405
0.097000, -0.047377
0.098000, -0.048359
0.099000, -0.049351
0.100000, -0.050353
0.101000, -0.051365
0.102000, -0.052387
0.103000, -0.053419
0.104000, -0.054462
0.105000, -0.055514
0.106000, -0.056576
0.107000, -0.057649
0.108000, -0.058731
0.109000, -0.059824
0.110000, -0.060927
0.111000, -0.062039
0.112000, -0.063162
0.113000, -0.064295
0.114000, -0.065438
0.115000, -0.066591
0.116000, -0.067754
0.117000, -0.068927
0.118000, -0.070110
0.119000, -0.071304
0.120000, -0.072507
0.121000, -0.073720
0.122000, -0.074944
0.123000, -0.076177
0.124000, -0.077421
0.125000, -0.078675
0.126000, -0.079938
0.127000, -0.081212
0.128000, -0.082496
0.129000, -0.083790
0.130000, -0.085094
0.131000, -0.086408
0.132000, -0.087732
0.133000, -0.089067
0.134000, -0.090411
0.135000, -0.091765
0.136000, -0.093130
0.137000, -0.094504
0.138000, -0.095889
0.139000, -0.097283
0.140000, -0.098688
0.141000, -0.100103
0.142000, -0.101527
0.143000, -0.102962
0.144000, -0.104407
0.145000, -0.105862
0.146000, -0.107327
0.147000, -0.108803
0.148000, -0.110288
0.149000, -0.111783
0.150000, -0.113288
0.151000, -0.114804
0.152000, -0.116329
0.153000, -0.117865
0.154000, -0.119410
0.155000, -0.120966
0.156000, -0.122532
0.157000, -0.124108
0.158000, -0.125693
0.159000, -0.127289
0.160000, -0.128895
0.161000, -0.130511
0.162000, -0.132137
0.163000, -0.133774
0.164000, -0.135420
0.165000, -0.137076
0.166000, -0.138743
0.167000, -0.140419
0.168000, -0.142105
0.169000, -0.143802
0.170000, -0.145509
0.171000, -0.147225
0.172000, -0.148952
0.173000, -0.150689
0.174000, -0.152436
0.175000, -0.154193
0.176000, -0.155960
0.177000, -0.157737
0.178000, -0.159524
0.179000, -0.161321
0.180000, -0.163128
0.181000, -0.164946
0.182000, -0.166773
0.183000, -0.168611
0.184000, -0.170458
0.185000, -0.172316
0.186000, -0.174183
0.187000, -0.176061
0.188000, -0.177949
0.189000, -0.179847
0.190000, -0.181754
0.191000, -0.183672
0.192000, -0.185600
0.193000, -0.187538
0.194000, -0.189487
0.195000, -0.191445
0.196000, -0.193413
0.197000, -0.195391
0.198000, -0.197380
0.199000, -0.199378
0.200000, -0.201387
0.201000, -0.203405
0.202000, -0.205434
0.203000, -0.207473
0.204000, -0.209521
0.205000, -0.211580
0.206000, -0.213649
0.207000, -0.215728
0.208000, -0.217817
0.209000, -0.219916
0.210000, -0.222025
0.211000, -0.224144
0.212000, -0.226273
0.213000, -0.228413
0.214000, -0.230562
0.215000, -0.232721
0.216000, -0.234891
0.217000, -0.237070
0.218000, -0.239260
0.219000, -0.241460
0.220000, -0.243669
0.221000, -0.245889
0.222000, -0.248119
0.223000, -0.250359
0.224000, -0.252609
0.225000, -0.254869
0.226000, -0.257139
0.227000, -0.259419
0.228000, -0.261709
0.229000, -0.264009
0.230000, -0.266319
0.231000, -0.268640
0.232000, -0.270970
0.233000, -0.273311
0.234000, -0.275661
0.235000, -0.278022
0.236000, -0.280392
0.237000, -0.282773
0.238000, -0.285164
0.239000, -0.287565
0.240000, -0.289975
0.241000, -0.292396
0.242000, -0.294827
0.243000, -0.297268
0.244000, -0.299719
0.245000, -0.302181
0.246000, -0.304652
0.247000, -0.307133
0.248000, -0.309624
0.249000, -0.312126
0.250000, -0.314637
0.251000, -0.317158
0.252000, -0.319690
0.253000, -0.322232
0.254000, -0.324783
0.255000, -0.327345
0.256000, -0.329917
0.257000, -0.332498
0.258000, -0.335090
0.259000, -0.337692
0.260000, -0.340304
0.261000, -0.342926
0.262000, -0.345558
0.263000, -0.348200
0.264000, -0.350852
0.265000, -0.353515
0.266000, -0.356187
0.267000, -0.358869
0.268000, -0.361562
0.269000, -0.364264
0.270000, -0.366977
0.271000, -0.369699
0.272000, -0.372432
0.273000, -0.375174
0.274000, -0.377927
0.275000, -0.380690
0.276000, -0.383463
0.277000, -0.386245
0.278000, -0.389038
0.279000, -0.391841
0.280000, -0.394654
0.281000, -0.397477
0.282000, -0.400310
0.283000, -0.403154
0.284000, -0.406007
0.285000, -0.408870
0.286000, -0.411743
0.287000, -0.414627
0.288000, -0.417520
0.289000, -0.420424
0.290000, -0.423337
0.291000, -0.426261
0.292000, -0.429194
0.293000, -0.432138
0.294000, -0.435092
0.295000, -0.438055
0.296000, -0.441029
0.297000, -0.444013
0.298000, -0.447007
0.299000, -0.450011
0.300000, -0.453025
0.301000, -0.456049
0.302000, -0.459083
0.303000, -0.462127
0.304000, -0.465181
0.305000, -0.468246
0.306000, -0.471320
0.307000, -0.474404
0.308000, -0.477499
0.309000, -0.480603
0.310000, -0.483718
0.311000, -0.486842
0.312000, -0.489977
0.313000, -0.493121
0.314000, -0.496276
0.315000, -0.499441
0.316000, -0.502615
0.317000, -0.505800
0.318000, -0.508995
0.319000, -0.512200
0.320000, -0.515415
0.321000, -0.518640
0.322000, -0.521875
0.323000, -0.525120
0.324000, -0.528375
0.325000, -0.531640
0.326000, -0.534916
0.327000, -0.538201
0.328000, -0.541496
0.329000, -0.544801
0.330000, -0.548117
0.331000, -0.551442
0.332000, -0.554778
0.333000, -0.558123
0.334000, -0.561479
0.335000, -0.564844
0.336000, -0.568220
0.337000, -0.571606
0.338000, -0.575001
0.339000, -0.578407
0.340000, -0.581823
0.341000, -0.585249
0.342000, -0.588685
0.343000, -0.592131
0.344000, -0.595587
0.345000, -0.599053
0.346000, -0.602529
0.347000, -0.606015
0.348000, -0.609511
0.349000, -0.613017
0.350000, -0.616533
0.351000, -0.620060
0.352000, -0.623596
0.353000, -0.627142
0.354000, -0.630699
0.355000, -0.634265
0.356000, -0.637841
0.357000, -0.641428
0.358000, -0.645024
0.359000, -0.648631
0.360000, -0.652248
0.361000, -0.655874
0.362000, -0.659511
0.363000, -0.663158
0.364000, -0.666814
0.365000, -0.670481
0.366000, -0.674158
0.367000, -0.677845
0.368000, -0.681542
0.369000, -0.685249
0.370000, -0.688966
0.371000, -0.692693
0.372000, -0.696430
0.373000, -0.700177
0.374000, -0.703934
0.375000, -0.707701
0.376000, -0.711478
0.377000, -0.715266
0.378000, -0.719063
0.379000, -0.722870
0.380000, -0.726688
0.381000, -0.730515
0.382000, -0.734352
0.383000, -0.738200
0.384000, -0.742057
0.385000, -0.745925
0.386000, -0.749802
0.387000, -0.753690
0.388000, -0.757587
0.389000, -0.761495
0.390000, -0.765413
0.391000, -0.769340
0.392000, -0.773278
0.393000, -0.777226
0.394000, -0.781184
0.395000, -0.785152
0.396000, -0.789129
0.397000, -0.793117
0.398000, -0.797115
0.399000, -0.801123
0.400000, -0.805141
0.401000, -0.809169
0.402000, -0.813207
0.403000, -0.817255
0.404000, -0.821313
0.405000, -0.825382
0.406000, -0.829460
0.407000, -0.833548
0.408000, -0.837646
0.409000, -0.841754
0.410000, -0.845873
0.411000, -0.850001
0.412000, -0.854139
0.413000, -0.858288
0.414000, -0.862446
0.415000, -0.866615
0.416000, -0.870793
0.417000, -0.874981
0.418000, -0.879180
0.419000, -0.883389
0.420000, -0.887607
0.421000, -0.891836
0.422000, -0.896074
0.423000, -0.900323
0.424000, -0.904582
0.425000, -0.908850
0.426000, -0.913129
0.427000, -0.917418
0.428000, -0.921716
0.429000, -0.926025
0.430000, -0.930344
0.431000, -0.934673
0.432000, -0.939012
0.433000, -0.943361
0.434000, -0.947720
0.435000, -0.952088
0.436000, -0.956467
0.437000, -0.960856
0.438000, -0.965255
0.439000, -0.969664
0.440000, -0.974083
0.441000, -0.978513
0.442000, -0.982952
0.443000, -0.987401
0.444000, -0.991860
0.445000, -0.996329
0.446000, -1.000808
0.447000, -1.005297
0.448000, -1.009797
0.449000, -1.014306
0.450000, -1.018825
0.451000, -1.023354
0.452000, -1.027894
0.453000, -1.032443
0.454000, -1.037002
0.455000, -1.041572
0.456000, -1.046151
0.457000, -1.050740
0.458000, -1.055340
0.459000, -1.059949
0.460000, -1.064569
0.461000, -1.069198
0.462000, -1.073838
0.463000, -1.078487
0.464000, -1.083147
0.465000, -1.087816
0.466000, -1.092496
0.467000, -1.097185
0.468000, -1.101885
0.469000, -1.106594
0.470000, -1.111314
0.471000, -1.116044
0.472000, -1.120783
0.473000, -1.125533
0.474000, -1.130293
0.475000, -1.135062
0.476000, -1.139842
0.477000, -1.144632
0.478000, -1.149431
0.479000, -1.154241
0.480000, -1.159061
0.481000, -1.163891
0.482000, -1.168730
0.483000, -1.173580
0.484000, -1.178440
0.485000, -1.183310
0.486000, -1.188190
0.487000, -1.193079
0.488000, -1.197979
0.489000, -1.202889
0.490000, -1.207809
0.491000, -1.212739
0.492000, -1.217679
0.493000, -1.222629
0.494000, -1.227588
0.495000, -1.232558
0.496000, -1.237538
0.497000, -1.242528
0.498000, -1.247528
0.499000, -1.252538
0.500000, -1.257558
0.501000, -1.262588
0.502000, -1.267628
0.503000, -1.272678
0.504000, -1.277738
0.505000, -1.282808
0.506000, -1.287888
0.507000, -1.292978
0.508000, -1.298078
0.509000, -1.303188
0.510000, -1.308308
0.511000, -1.313438
0.512000, -1.318578
0.513000, -1.323728
0.514000, -1.328888
0.515000, -1.334058
0.516000, -1.339238
0.517000, -1.344428
0.518000, -1.349628
0.519000, -1.354838
0.520000, -1.360058
0.521000, -1.365288
0.522000, -1.370528
0.523000, -1.375778
0.524000, -1.381039
0.525000, -1.386309
0.526000, -1.391589
0.527000, -1.396879
0.528000, -1.402179
0.529000, -1.407489
0.530000, -1.412809
0.531000, -1.418139
0.532000, -1.423479
0.533000, -1.428829
0.534000, -1.434189
0.535000, -1.439559
0.536000, -1.444939
0.537000, -1.450329
0.538000, -1.455729
0.539000, -1.461140
0.540000, -1.466560
0.541000, -1.471990
0.542000, -1.477430
0.543000, -1.482880
0.544000, -1.488340
0.545000, -1.493810
0.546000, -1.499290
0.547000, -1.504780
0.548000, -1.510280
0.549000, -1.515790
0.550000, -1.521310
0.551000, -1.526840
0.552000, -1.532380
0.553000, -1.537930
0.554000, -1.543490
0.555000, -1.549060
0.556000, -1.554640
0.557000, -1.560230
0.558000, -1.565830
0.559000, -1.571440
0.560000, -1.577060
0.561000, -1.582690
0.562000, -1.588330
0.563000, -1.593980
0.564000, -1.599639
0.565000, -1.605309
0.566000, -1.610989
0.567000, -1.616679
0.568000, -1.622379
0.569000, -1.628089
0.570000, -1.633809
0.571000, -1.639539
0.572000, -1.645278
0.573000, -1.651028
0.574000, -1.656788
0.575000, -1.662558
0.576000, -1.668338
0.577000, -1.674127
0.578000, -1.679927
0.579000, -1.685737
0.580000, -1.691557
0.581000, -1.697386
0.582000, -1.703226
0.583000, -1.709076
0.584000, -1.714935
0.585000, -1.720805
0.586000, -1.726685
0.587000, -1.732574
0.588000, -1.738474
0.589000, -1.744383
0.590000, -1.750303
0.591000, -1.756232
0.592000, -1.762172
0.593000, -1.768122
0.594000, -1.774081
0.595000, -1.780051
0.596000, -1.786030
0.597000, -1.792019
0.598000, -1.798019
0.599000, -1.804028
0.600000, -1.810048
0.601000, -1.816077
0.602000, -1.822116
0.603000, -1.828166
0.604000, -1.834225
0.605000, -1.840294
0.606000, -1.846374
0.607000, -1.852463
0.608000, -1.858562
0.609000, -1.864671
0.610000, -1.870790
0.611000, -1.876919
0.612000, -1.883059
0.613000, -1.889208
0.614000, -1.895367
0.615000, -1.901536
0.616000, -1.907715
0.617000, -1.913904
0.618000, -1.920103
0.619000, -1.926312
0.620000, -1.932531
0.621000, -1.938760
0.622000, -1.944998
0.623000, -1.951247
0.624000, -1.957506
0.625000, -1.963775
0.626000, -1.970054
0.627000, -1.976342
0.628000, -1.982641
0.629000, -1.988950
0.630000, -1.995268
0.631000, -2.001597
0.632000, -2.007936
0.633000, -2.014284
0.634000, -2.020643
0.635000, -2.027011
0.636000, -2.033390
0.637000, -2.039778
0.638000, -2.046177
0.639000, -2.052585
0.640000, -2.059003
0.641000, -2.065432
0.642000, -2.071870
0.643000, -2.078318
0.644000, -2.084776
0.645000, -2.091244
0.646000, -2.097723
0.647000, -2.104211
