v, i
-14.000000, 200.000000
-13.900000, 199.949647
-13.800000, 199.798613
-13.700000, 199.546975
-13.600000, 199.194859
-13.500000, 198.742442
-13.400000, 198.189952
-13.300000, 197.537668
-13.200000, 196.785918
-13.100000, 195.935080
-13.000000, 194.985582
-12.900000, 193.937904
-12.800000, 192.792572
-12.700000, 191.550163
-12.600000, 190.211303
-12.500000, 188.776666
-12.400000, 187.246974
-12.300000, 185.622998
-12.200000, 183.905555
-12.100000, 182.095509
-12.000000, 180.193774
-11.900000, 178.201305
-11.800000, 176.119106
-11.700000, 173.948227
-11.600000, 171.689759
-11.500000, 169.344840
-11.400000, 166.914651
-11.300000, 164.400415
-11.200000, 161.803399
-11.100000, 159.124910
-11.000000, 156.366296
-10.900000, 153.528948
-10.800000, 150.614293
-10.700000, 147.623799
-10.600000, 144.558973
-10.500000, 141.421356
-10.400000, 138.212530
-10.300000, 134.934109
-10.200000, 131.587745
-10.100000, 128.175123
-10.000000, 124.697960
-9.900000, 121.158009
-9.800000, 117.557050
-9.700000, 113.896899
-9.600000, 110.179396
-9.500000, 106.406415
-9.400000, 102.579855
-9.300000, 98.701644
-9.200000, 94.773732
-9.100000, 90.798100
-9.000000, 86.776748
-8.900000, 82.711701
-8.800000, 78.605006
-8.700000, 74.458732
-8.600000, 70.274965
-8.500000, 66.055812
-8.400000, 61.803399
-8.300000, 57.519865
-8.200000, 53.207369
-8.100000, 48.868081
-8.000000, 44.504187
-7.900000, 40.117883
-7.800000, 35.711379
-7.700000, 31.286893
-7.600000, 26.846653
-7.500000, 22.392895
-7.400000, 17.927862
-7.300000, 13.453801
-7.200000, 8.972966
-7.100000, 4.487613
-7.000000, 0.000000
-6.900000, 4.487613
-6.800000, 8.972966
-6.700000, 13.453801
-6.600000, 17.927862
-6.500000, 22.392895
-6.400000, 26.846653
-6.300000, 31.286893
-6.200000, 35.711379
-6.100000, 40.117883
-6.000000, 44.504187
-5.900000, 48.868081
-5.800000, 53.207369
-5.700000, 57.519865
-5.600000, 61.803399
-5.500000, 66.055812
-5.400000, 70.274965
-5.300000, 74.458732
-5.200000, 78.605006
-5.100000, 82.711701
-5.000000, 86.776748
-4.900000, 90.798100
-4.800000, 94.773732
-4.700000, 98.701644
-4.600000, 102.579855
-4.500000, 106.406415
-4.400000, 110.179396
-4.300000, 113.896899
-4.200000, 117.557050
-4.100000, 121.158009
-4.000000, 124.697960
-3.900000, 128.175123
-3.800000, 131.587745
-3.700000, 134.934109
-3.600000, 138.212530
-3.500000, 141.421356
-3.400000, 144.558973
-3.300000, 147.623799
-3.200000, 150.614293
-3.100000, 153.528948
-3.000000, 156.366296
-2.900000, 159.124910
-2.800000, 161.803399
-2.700000, 164.400415
-2.600000, 166.914651
-2.500000, 169.344840
-2.400000, 171.689759
-2.300000, 173.948227
-2.200000, 176.119106
-2.100000, 178.201305
-2.000000, 180.193774
-1.900000, 182.095509
