p, res
0.000000, 0.000000
0.010000, 0.000025
0.020000, 0.000100
0.030000, 0.000225
0.040000, 0.000400
0.050000, 0.000625
0.060000, 0.000900
0.070000, 0.001225
0.080000, 0.001599
0.090000, 0.002024
0.100000, 0.002499
0.110000, 0.003023
0.120000, 0.003597
0.130000, 0.004221
0.140000, 0.004895
0.150000, 0.005618
0.160000, 0.006392
0.170000, 0.007214
0.180000, 0.008086
0.190000, 0.009008
0.200000, 0.009979
0.210000, 0.011000
0.220000, 0.012070
0.230000, 0.013189
0.240000, 0.014357
0.250000, 0.015575
0.260000, 0.016841
0.270000, 0.018157
0.280000, 0.019521
0.290000, 0.020934
0.300000, 0.022396
0.310000, 0.023906
0.320000, 0.025465
0.330000, 0.027073
0.340000, 0.028728
0.350000, 0.030432
0.360000, 0.032184
0.370000, 0.033984
0.380000, 0.035832
0.390000, 0.037728
0.400000, 0.039671
0.410000, 0.041662
0.420000, 0.043700
0.430000, 0.045786
0.440000, 0.047919
0.450000, 0.050098
0.460000, 0.052325
0.470000, 0.054598
0.480000, 0.056918
0.490000, 0.059285
0.500000, 0.061698
0.510000, 0.064157
0.520000, 0.066662
0.530000, 0.069213
0.540000, 0.071809
0.550000, 0.074451
0.560000, 0.077139
0.570000, 0.079871
0.580000, 0.082649
0.590000, 0.085471
0.600000, 0.088339
0.610000, 0.091250
0.620000, 0.094206
0.630000, 0.097207
0.640000, 0.100251
0.650000, 0.103339
0.660000, 0.106470
0.670000, 0.109645
0.680000, 0.112863
0.690000, 0.116124
0.700000, 0.119427
0.710000, 0.122773
0.720000, 0.126162
0.730000, 0.129593
0.740000, 0.133065
0.750000, 0.136579
0.760000, 0.140135
0.770000, 0.143732
0.780000, 0.147370
0.790000, 0.151048
0.800000, 0.154768
0.810000, 0.158527
0.820000, 0.162327
0.830000, 0.166166
0.840000, 0.170045
0.850000, 0.173964
0.860000, 0.177921
0.870000, 0.181917
0.880000, 0.185952
0.890000, 0.190025
0.900000, 0.194136
0.910000, 0.198285
0.920000, 0.202472
0.930000, 0.206696
0.940000, 0.210957
0.950000, 0.215254
0.960000, 0.219588
0.970000, 0.223958
0.980000, 0.228364
0.990000, 0.232806
1.000000, 0.237283
1.010000, 0.241795
1.020000, 0.246341
1.030000, 0.250923
1.040000, 0.255538
1.050000, 0.260187
1.060000, 0.264870
1.070000, 0.269586
1.080000, 0.274334
1.090000, 0.279116
1.100000, 0.283930
1.110000, 0.288776
1.120000, 0.293653
1.130000, 0.298562
1.140000, 0.303502
1.150000, 0.308472
1.160000, 0.313473
1.170000, 0.318504
1.180000, 0.323565
1.190000, 0.328656
1.200000, 0.333775
1.210000, 0.338923
1.220000, 0.344099
1.230000, 0.349304
1.240000, 0.354536
1.250000, 0.359796
1.260000, 0.365083
1.270000, 0.370396
1.280000, 0.375736
1.290000, 0.381101
1.300000, 0.386492
1.310000, 0.391909
1.320000, 0.397350
1.330000, 0.402816
1.340000, 0.408306
1.350000, 0.413820
1.360000, 0.419357
1.370000, 0.424918
1.380000, 0.430501
1.390000, 0.436106
1.400000, 0.441734
1.410000, 0.447382
1.420000, 0.453052
1.430000, 0.458743
1.440000, 0.464455
1.450000, 0.470186
1.460000, 0.475937
1.470000, 0.481707
1.480000, 0.487496
1.490000, 0.493303
1.500000, 0.499129
1.510000, 0.504972
1.520000, 0.510832
1.530000, 0.516710
1.540000, 0.522603
1.550000, 0.528513
1.560000, 0.534439
1.570000, 0.540379
1.580000, 0.546335
1.590000, 0.552305
1.600000, 0.558289
1.610000, 0.564287
1.620000, 0.570297
1.630000, 0.576321
1.640000, 0.582357
1.650000, 0.588405
1.660000, 0.594464
1.670000, 0.600534
1.680000, 0.606615
1.690000, 0.612706
1.700000, 0.618807
1.710000, 0.624918
1.720000, 0.631037
1.730000, 0.637165
1.740000, 0.643301
1.750000, 0.649445
1.760000, 0.655595
1.770000, 0.661753
1.780000, 0.667917
1.790000, 0.674086
1.800000, 0.680262
1.810000, 0.686442
1.820000, 0.692626
1.830000, 0.698815
1.840000, 0.705008
1.850000, 0.711204
1.860000, 0.717402
1.870000, 0.723603
1.880000, 0.729806
1.890000, 0.736010
1.900000, 0.742215
1.910000, 0.748420
1.920000, 0.754626
1.930000, 0.760831
1.940000, 0.767036
1.950000, 0.773239
1.960000, 0.779440
1.970000, 0.785640
1.980000, 0.791836
1.990000, 0.798029
2.000000, 0.804219
2.010000, 0.810405
2.020000, 0.816586
2.030000, 0.822762
2.040000, 0.828933
2.050000, 0.835098
2.060000, 0.841256
2.070000, 0.847408
2.080000, 0.853552
2.090000, 0.859689
2.100000, 0.865817
2.110000, 0.871936
2.120000, 0.878047
2.130000, 0.884148
2.140000, 0.890238
2.150000, 0.896318
2.160000, 0.902387
2.170000, 0.908445
2.180000, 0.914490
2.190000, 0.920523
2.200000, 0.926543
2.210000, 0.932550
2.220000, 0.938543
2.230000, 0.944522
2.240000, 0.950485
2.250000, 0.956434
2.260000, 0.962366
2.270000, 0.968283
2.280000, 0.974182
2.290000, 0.980065
2.300000, 0.985930
2.310000, 0.991777
2.320000, 0.997605
2.330000, 1.003414
2.340000, 1.009204
2.350000, 1.014973
2.360000, 1.020723
2.370000, 1.026451
2.380000, 1.032158
2.390000, 1.037843
2.400000, 1.043505
2.410000, 1.049145
2.420000, 1.054762
2.430000, 1.060354
2.440000, 1.065923
2.450000, 1.071467
2.460000, 1.076985
2.470000, 1.082479
2.480000, 1.087946
2.490000, 1.093386
2.500000, 1.098800
2.510000, 1.104186
2.520000, 1.109544
2.530000, 1.114873
2.540000, 1.120174
2.550000, 1.125446
2.560000, 1.130687
2.570000, 1.135899
2.580000, 1.141080
2.590000, 1.146229
2.600000, 1.151347
2.610000, 1.156433
2.620000, 1.161486
2.630000, 1.166507
2.640000, 1.171494
2.650000, 1.176447
2.660000, 1.181366
2.670000, 1.186250
2.680000, 1.191099
2.690000, 1.195912
2.700000, 1.200689
2.710000, 1.205429
2.720000, 1.210133
2.730000, 1.214799
2.740000, 1.219427
2.750000, 1.224017
2.760000, 1.228568
2.770000, 1.233080
2.780000, 1.237553
2.790000, 1.241985
2.800000, 1.246377
2.810000, 1.250727
2.820000, 1.255037
2.830000, 1.259305
2.840000, 1.263530
2.850000, 1.267714
2.860000, 1.271854
2.870000, 1.275950
2.880000, 1.280003
2.890000, 1.284011
2.900000, 1.287975
2.910000, 1.291894
2.920000, 1.295767
2.930000, 1.299594
2.940000, 1.303375
2.950000, 1.307109
2.960000, 1.310797
2.970000, 1.314436
2.980000, 1.318028
2.990000, 1.321572
3.000000, 1.325066
3.010000, 1.328512
3.020000, 1.331908
3.030000, 1.335255
3.040000, 1.338551
3.050000, 1.341797
3.060000, 1.344992
3.070000, 1.348135
3.080000, 1.351227
3.090000, 1.354266
3.100000, 1.357254
3.110000, 1.360188
3.120000, 1.363069
3.130000, 1.365897
3.140000, 1.368671
3.150000, 1.371391
3.160000, 1.374056
3.170000, 1.376666
3.180000, 1.379221
3.190000, 1.381720
3.200000, 1.384164
3.210000, 1.386551
3.220000, 1.388882
3.230000, 1.391156
3.240000, 1.393372
3.250000, 1.395531
3.260000, 1.397633
3.270000, 1.399676
3.280000, 1.401660
3.290000, 1.403586
3.300000, 1.405453
3.310000, 1.407260
3.320000, 1.409008
3.330000, 1.410696
3.340000, 1.412324
3.350000, 1.413891
3.360000, 1.415397
3.370000, 1.416842
3.380000, 1.418226
3.390000, 1.419548
3.400000, 1.420808
3.410000, 1.422007
3.420000, 1.423142
3.430000, 1.424216
3.440000, 1.425226
3.450000, 1.426173
3.460000, 1.427057
3.470000, 1.427877
3.480000, 1.428634
3.490000, 1.429326
3.500000, 1.429954
3.510000, 1.430518
3.520000, 1.431016
3.530000, 1.431450
3.540000, 1.431819
3.550000, 1.432123
3.560000, 1.432361
3.570000, 1.432533
3.580000, 1.432640
3.590000, 1.432680
3.600000, 1.432654
3.610000, 1.432562
3.620000, 1.432403
3.630000, 1.432177
3.640000, 1.431885
3.650000, 1.431525
3.660000, 1.431099
3.670000, 1.430605
3.680000, 1.430043
3.690000, 1.429414
3.700000, 1.428717
3.710000, 1.427953
3.720000, 1.427120
3.730000, 1.426220
3.740000, 1.425251
3.750000, 1.424214
3.760000, 1.423108
3.770000, 1.421934
3.780000, 1.420692
3.790000, 1.419381
3.800000, 1.418001
3.810000, 1.416553
3.820000, 1.415036
3.830000, 1.413450
3.840000, 1.411795
3.850000, 1.410071
3.860000, 1.408278
3.870000, 1.406416
3.880000, 1.404485
3.890000, 1.402485
3.900000, 1.400416
3.910000, 1.398278
3.920000, 1.396071
3.930000, 1.393795
3.940000, 1.391450
3.950000, 1.389035
3.960000, 1.386552
3.970000, 1.384000
3.980000, 1.381379
3.990000, 1.378689
4.000000, 1.375930
4.010000, 1.373102
4.020000, 1.370206
4.030000, 1.367241
4.040000, 1.364207
4.050000, 1.361105
4.060000, 1.357935
4.070000, 1.354696
4.080000, 1.351389
4.090000, 1.348014
4.100000, 1.344571
4.110000, 1.341061
4.120000, 1.337482
4.130000, 1.333836
4.140000, 1.330123
4.150000, 1.326342
4.160000, 1.322494
4.170000, 1.318580
4.180000, 1.314598
4.190000, 1.310550
4.200000, 1.306436
4.210000, 1.302255
4.220000, 1.298009
4.230000, 1.293696
4.240000, 1.289318
4.250000, 1.284875
4.260000, 1.280367
4.270000, 1.275794
4.280000, 1.271156
4.290000, 1.266454
4.300000, 1.261688
4.310000, 1.256858
4.320000, 1.251965
4.330000, 1.247008
4.340000, 1.241989
4.350000, 1.236907
4.360000, 1.231762
4.370000, 1.226556
4.380000, 1.221288
4.390000, 1.215959
4.400000, 1.210568
4.410000, 1.205117
4.420000, 1.199606
4.430000, 1.194035
4.440000, 1.188404
4.450000, 1.182715
4.460000, 1.176966
4.470000, 1.171159
4.480000, 1.165295
4.490000, 1.159372
4.500000, 1.153393
4.510000, 1.147357
4.520000, 1.141265
4.530000, 1.135117
4.540000, 1.128914
4.550000, 1.122657
4.560000, 1.116344
4.570000, 1.109979
4.580000, 1.103559
4.590000, 1.097087
4.600000, 1.090563
4.610000, 1.083987
4.620000, 1.077359
4.630000, 1.070681
4.640000, 1.063953
4.650000, 1.057175
4.660000, 1.050348
4.670000, 1.043473
4.680000, 1.036550
4.690000, 1.029580
4.700000, 1.022563
4.710000, 1.015500
4.720000, 1.008391
4.730000, 1.001238
4.740000, 0.994041
4.750000, 0.986800
4.760000, 0.979516
4.770000, 0.972191
4.780000, 0.964824
4.790000, 0.957416
4.800000, 0.949968
4.810000, 0.942480
4.820000, 0.934954
4.830000, 0.927391
4.840000, 0.919789
4.850000, 0.912152
4.860000, 0.904479
4.870000, 0.896771
4.880000, 0.889029
4.890000, 0.881253
4.900000, 0.873445
4.910000, 0.865606
4.920000, 0.857735
4.930000, 0.849834
4.940000, 0.841904
4.950000, 0.833946
4.960000, 0.825960
4.970000, 0.817948
4.980000, 0.809909
4.990000, 0.801846
5.000000, 0.793759
5.010000, 0.785648
5.020000, 0.777516
5.030000, 0.769362
5.040000, 0.761187
5.050000, 0.752994
5.060000, 0.744782
5.070000, 0.736552
5.080000, 0.728306
5.090000, 0.720045
5.100000, 0.711768
5.110000, 0.703479
5.120000, 0.695177
5.130000, 0.686863
5.140000, 0.678539
5.150000, 0.670206
5.160000, 0.661864
5.170000, 0.653516
5.180000, 0.645161
5.190000, 0.636800
5.200000, 0.628436
5.210000, 0.620069
5.220000, 0.611700
5.230000, 0.603331
5.240000, 0.594962
5.250000, 0.586595
5.260000, 0.578231
5.270000, 0.569870
5.280000, 0.561515
5.290000, 0.553166
5.300000, 0.544825
5.310000, 0.536492
5.320000, 0.528170
5.330000, 0.519859
5.340000, 0.511560
5.350000, 0.503275
5.360000, 0.495005
5.370000, 0.486751
5.380000, 0.478515
5.390000, 0.470298
5.400000, 0.462101
5.410000, 0.453925
5.420000, 0.445772
5.430000, 0.437644
5.440000, 0.429540
5.450000, 0.421464
5.460000, 0.413416
5.470000, 0.405397
5.480000, 0.397410
5.490000, 0.389455
5.500000, 0.381533
5.510000, 0.373647
5.520000, 0.365797
5.530000, 0.357986
5.540000, 0.350214
5.550000, 0.342483
5.560000, 0.334795
5.570000, 0.327150
5.580000, 0.319551
5.590000, 0.311999
5.600000, 0.304495
5.610000, 0.297041
5.620000, 0.289639
5.630000, 0.282290
5.640000, 0.274995
5.650000, 0.267757
5.660000, 0.260576
5.670000, 0.253454
5.680000, 0.246394
5.690000, 0.239396
5.700000, 0.232462
5.710000, 0.225594
5.720000, 0.218793
5.730000, 0.212061
5.740000, 0.205400
5.750000, 0.198811
5.760000, 0.192296
5.770000, 0.185857
5.780000, 0.179495
5.790000, 0.173212
5.800000, 0.167010
5.810000, 0.160890
5.820000, 0.154855
5.830000, 0.148905
5.840000, 0.143043
5.850000, 0.137271
5.860000, 0.131590
5.870000, 0.126001
5.880000, 0.120508
5.890000, 0.115111
5.900000, 0.109812
5.910000, 0.104614
5.920000, 0.099518
5.930000, 0.094525
5.940000, 0.089638
5.950000, 0.084858
5.960000, 0.080188
5.970000, 0.075629
5.980000, 0.071184
5.990000, 0.066853
6.000000, 0.062639
6.010000, 0.058543
6.020000, 0.054569
6.030000, 0.050717
6.040000, 0.046989
6.050000, 0.043388
6.060000, 0.039915
6.070000, 0.036572
6.080000, 0.033362
6.090000, 0.030286
6.100000, 0.027346
6.110000, 0.024545
6.120000, 0.021883
6.130000, 0.019364
6.140000, 0.016988
6.150000, 0.014759
6.160000, 0.012679
6.170000, 0.010748
6.180000, 0.008969
6.190000, 0.007345
6.200000, 0.005877
6.210000, 0.004568
6.220000, 0.003419
6.230000, 0.002432
6.240000, 0.001610
6.250000, 0.000955
6.260000, 0.000468
6.270000, 0.000152
6.280000, 0.000009
6.290000, 0.000041
6.300000, 0.000250
6.310000, 0.000638
6.320000, 0.001208
6.330000, 0.001961
6.340000, 0.002900
6.350000, 0.004027
6.360000, 0.005343
6.370000, 0.006852
6.380000, 0.008554
6.390000, 0.010453
6.400000, 0.012551
6.410000, 0.014849
6.420000, 0.017350
6.430000, 0.020056
6.440000, 0.022970
6.450000, 0.026092
6.460000, 0.029427
6.470000, 0.032975
6.480000, 0.036739
6.490000, 0.040721
6.500000, 0.044924
6.510000, 0.049350
6.520000, 0.054000
6.530000, 0.058877
6.540000, 0.063983
6.550000, 0.069321
6.560000, 0.074893
6.570000, 0.080700
6.580000, 0.086746
6.590000, 0.093032
6.600000, 0.099561
6.610000, 0.106335
6.620000, 0.113355
6.630000, 0.120625
6.640000, 0.128147
6.650000, 0.135922
6.660000, 0.143954
6.670000, 0.152244
6.680000, 0.160794
6.690000, 0.169607
6.700000, 0.178686
6.710000, 0.188031
6.720000, 0.197646
6.730000, 0.207533
6.740000, 0.217694
6.750000, 0.228131
6.760000, 0.238847
6.770000, 0.249844
6.780000, 0.261123
6.790000, 0.272688
6.800000, 0.284541
6.810000, 0.296683
6.820000, 0.309117
6.830000, 0.321845
6.840000, 0.334870
6.850000, 0.348194
6.860000, 0.361818
6.870000, 0.375746
6.880000, 0.389979
6.890000, 0.404520
6.900000, 0.419371
6.910000, 0.434533
6.920000, 0.450010
6.930000, 0.465803
6.940000, 0.481915
6.950000, 0.498348
6.960000, 0.515104
6.970000, 0.532186
6.980000, 0.549594
6.990000, 0.567333
7.000000, 0.585403
7.010000, 0.603807
7.020000, 0.622547
